,mean_impulsivity,upps_impulsivity_survey.lack_of_perseverance,upps_impulsivity_survey.lack_of_premeditation,upps_impulsivity_survey.negative_urgency,upps_impulsivity_survey.positive_urgency,upps_impulsivity_survey.sensation_seeking,Sex,Age,EverArrested
s316,1.9858658277411128,1.8,2.0,1.3333333333,1.0,2.1666666667,1,31,False
s317,2.1117931578311375,1.9,2.7272727273000004,1.4166666666999999,1.0714285714,1.6666666666999999,1,28,False
s323,2.055823145781997,1.4,1.3636363636000002,1.5833333333,1.1428571429,2.3333333333,0,34,True
s324,2.1163661329445516,1.2,1.4545454544999998,1.6666666666999999,1.0,2.6666666667000003,0,28,False
s325,1.9826311110086234,1.5,1.3636363636000002,1.75,1.2142857143,2.3333333333,1,42,False
s328,1.9493327322864689,1.4,1.8181818182,1.3333333333,1.2142857143,3.1666666667000003,0,25,False
s330,2.0388210248870755,1.4,1.5454545455000002,1.6666666666999999,1.3571428571000002,1.8333333333,0,24,False
s334,2.0172469072153296,1.8,1.9090909091,1.5833333333,1.0714285714,2.8333333332999997,1,33,True
s335,3.2672201470337257,2.9,3.1818181818,3.5833333332999997,2.9285714286,3.5833333332999997,0,33,False
s336,2.665531549915723,2.3,2.0,2.25,2.0714285714,2.25,0,26,False
s338,2.868101525548656,2.7,2.1818181818,3.0,2.2857142857,2.5833333333,1,40,False
s340,2.208135115099867,1.2,1.0909090909,2.0,2.0714285714,2.6666666667000003,0,29,False
s342,2.041035547988756,1.1,1.2727272726999999,2.0,1.7857142857,3.1666666667000003,0,27,False
s343,2.2973848958122676,2.7,1.3636363636000002,2.4166666667,1.2857142857,1.6666666666999999,1,20,False
s346,1.828885623897966,1.4,1.4545454544999998,1.25,1.0,2.6666666667000003,0,42,False
s349,2.0045575711334402,1.5,1.6363636363999998,2.0,1.9285714286,2.0833333333,0,33,False
s350,2.185192427052224,2.0,1.3636363636000002,2.6666666667000003,2.5,1.8333333333,1,35,False
s354,1.9981015930979658,1.0,1.3636363636000002,2.0833333333,2.0714285714,2.1666666667,1,35,True
s355,2.4984920903633347,2.6,1.7272727273,2.5833333333,2.0,2.1666666667,0,32,False
s357,1.6740877887791166,1.1,1.3636363636000002,1.1666666667,1.0,2.0833333333,1,49,False
s358,1.6260220272605759,1.1,1.0909090909,1.4166666666999999,1.0714285714,1.5833333333,0,24,False
s360,1.385731377362843,1.1,1.0,1.0833333333,1.0,1.1666666667,1,43,False
s362,1.410456858940053,1.2,1.0,1.0,1.0,1.0,1,28,False
s363,1.6663951580295098,1.0,1.0909090909,1.75,1.0714285714,1.8333333333,1,49,False
s364,2.582744758062409,2.5,1.8181818182,2.5833333333,1.7857142857,2.1666666667,0,26,True
s365,2.7922502573707026,2.3,1.9090909091,3.0,2.0,3.4166666667000003,0,43,True
s368,1.7982134485517693,1.8,1.0,1.5,1.0714285714,1.25,0,50,False
s369,2.37393547516467,1.4,2.0,2.9166666667000003,1.9285714286,3.0,1,33,False
s375,2.57274566894393,2.1,2.0,2.0833333333,2.1428571429,2.8333333332999997,0,48,True
s376,2.285057976696176,2.0,2.0,2.0,2.0,2.4166666667,0,39,False
s377,1.9946440517521111,1.6,2.0909090909,1.4166666666999999,1.2857142857,2.6666666667000003,0,34,True
s383,2.2207328511393527,2.2,1.8181818182,2.25,1.2142857143,1.8333333333,1,50,False
s384,2.5220943813865806,2.6,2.0,1.25,1.2142857143,3.8333333332999997,0,25,False
s386,2.5921895714072165,2.9,3.1818181818,1.9166666666999999,1.7857142857,1.75,1,44,False
